MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
120.0,3.0,44.0,4224.0,1.0,3,3.0,0.0,4,0.0,10,2.0,2.0,0.0,2,5.0,7.0,1976.0,1976,1.0,1.0,5.0,5.0,2,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2,840.0,5.0,0.0,200.0,1040.0,1.0,4,1.0,4.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0,3.0,1.0,3.0,6.0,6.0,1.0,1,1976.0,2,2.0,572.0,4.0,4.0,2.0,100.0,110.0,0.0,0.0,0.0,0.0,0.0,6,2007,8.0,4.0,129900.0
20.0,3.0,69.30579531442663,8246.0,1.0,0,3.0,0.0,4,0.0,19,2.0,2.0,0.0,2,5.0,6.0,1968.0,2001,1.0,1.0,9.0,10.0,2,0.0,3.0,4.0,1.0,3.0,3.0,2.0,4,188.0,5.0,0.0,204.0,1060.0,1.0,0,1.0,4.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0,3.0,1.0,2.0,6.0,6.0,1.0,1,1968.0,2,1.0,270.0,4.0,4.0,2.0,406.0,90.0,0.0,0.0,0.0,0.0,0.0,5,2010,8.0,4.0,154000.0
20.0,3.0,78.0,14230.0,1.0,3,3.0,0.0,0,0.0,16,2.0,2.0,0.0,2,8.0,5.0,2007.0,2007,1.0,1.0,12.0,13.0,3,163.5,2.0,4.0,2.0,2.0,3.0,3.0,5,0.0,5.0,0.0,1566.0,1566.0,1.0,0,1.0,4.0,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,1.0,1,2007.0,1,3.0,890.0,4.0,4.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,7,2009,8.0,4.0,256300.0
20.0,3.0,60.0,7200.0,1.0,3,3.0,0.0,0,0.0,12,2.0,2.0,0.0,2,5.0,7.0,1951.0,2000,1.0,1.0,13.0,14.0,2,0.0,3.0,4.0,1.0,3.0,3.0,2.0,1,234.0,5.0,0.0,180.0,900.0,1.0,4,1.0,4.0,900.0,0.0,0.0,900.0,0.0,0.0,1.0,0,3.0,1.0,2.0,5.0,6.0,0.0,5,2005.0,2,2.0,576.0,4.0,4.0,2.0,222.0,32.0,0.0,0.0,0.0,0.0,0.0,5,2010,8.0,4.0,134800.0
20.0,3.0,98.0,11478.0,1.0,3,3.0,0.0,4,0.0,16,2.0,2.0,0.0,2,8.0,5.0,2007.0,2008,1.0,1.0,12.0,13.0,3,200.0,2.0,4.0,2.0,2.0,3.0,3.0,2,1218.0,5.0,0.0,486.0,1704.0,1.0,0,1.0,4.0,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,1.0,1,2008.0,1,3.0,772.0,4.0,4.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5,2010,8.0,4.0,306000.0
20.0,3.0,47.0,16321.0,1.0,0,3.0,0.0,1,0.0,12,2.0,2.0,0.0,2,5.0,6.0,1957.0,1997,1.0,1.0,8.0,8.0,2,0.0,3.0,4.0,1.0,3.0,3.0,1.0,1,1277.0,5.0,0.0,207.0,1484.0,1.0,4,1.0,4.0,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0,2.0,1.0,3.0,6.0,6.0,2.0,1,1957.0,1,1.0,319.0,4.0,4.0,2.0,288.0,70.0,0.0,0.0,0.0,0.0,0.0,12,2006,8.0,4.0,207500.0
30.0,3.0,60.0,6324.0,1.0,0,3.0,0.0,4,0.0,3,2.0,2.0,0.0,2,4.0,6.0,1927.0,1950,1.0,1.0,8.0,8.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5,0.0,5.0,0.0,520.0,520.0,1.0,1,1.0,4.0,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0,1.0,1.0,1.0,4.0,6.0,0.0,5,1920.0,2,1.0,240.0,4.0,4.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2008,8.0,4.0,68500.0
70.0,3.0,50.0,8500.0,1.0,3,3.0,0.0,4,0.0,9,2.0,2.0,0.0,5,4.0,4.0,1920.0,1950,1.0,1.0,3.0,3.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5,0.0,5.0,0.0,649.0,649.0,1.0,4,1.0,4.0,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0,3.0,1.0,3.0,6.0,6.0,0.0,5,1920.0,2,1.0,250.0,4.0,4.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,7,2008,8.0,4.0,40000.0
20.0,3.0,69.30579531442663,8544.0,1.0,0,3.0,0.0,1,0.0,19,2.0,2.0,0.0,2,5.0,6.0,1966.0,2006,1.0,1.0,6.0,6.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,5,0.0,5.0,0.0,1228.0,1228.0,1.0,2,1.0,4.0,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1,3.0,1.0,2.0,6.0,6.0,0.0,1,1966.0,2,1.0,271.0,4.0,4.0,2.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,6,2008,8.0,4.0,149350.0
20.0,3.0,85.0,11049.0,1.0,3,3.0,0.0,0,0.0,5,2.0,2.0,0.0,2,8.0,5.0,2007.0,2007,1.0,1.0,12.0,13.0,2,0.0,2.0,4.0,2.0,2.0,3.0,2.0,5,0.0,5.0,0.0,1234.0,1234.0,1.0,0,1.0,4.0,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,0.0,1,2007.0,1,2.0,484.0,4.0,4.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1,2008,8.0,4.0,179900.0
20.0,3.0,70.0,10552.0,1.0,0,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,5.0,5.0,1959.0,1959,1.0,1.0,3.0,3.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,4,1018.0,5.0,0.0,380.0,1398.0,1.0,2,1.0,4.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1.0,1,4.0,1.0,2.0,6.0,6.0,1.0,1,1959.0,1,2.0,447.0,4.0,4.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4,2010,8.0,4.0,165500.0
120.0,3.0,60.0,7313.0,1.0,3,3.0,0.0,4,0.0,16,2.0,2.0,0.0,2,9.0,5.0,2005.0,2005,1.0,1.0,8.0,8.0,1,246.0,2.0,4.0,2.0,2.0,3.0,3.0,2,1153.0,5.0,0.0,408.0,1561.0,1.0,0,1.0,4.0,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0,2.0,1.0,2.0,6.0,6.0,1.0,1,2005.0,0,2.0,556.0,4.0,4.0,2.0,203.0,47.0,0.0,0.0,0.0,0.0,0.0,8,2007,8.0,4.0,277500.0
60.0,3.0,78.0,13418.0,1.0,3,3.0,0.0,4,0.0,16,2.0,2.0,0.0,5,8.0,5.0,2004.0,2005,1.0,1.0,12.0,13.0,3,132.0,2.0,4.0,2.0,2.0,3.0,2.0,5,0.0,5.0,0.0,1117.0,1117.0,1.0,0,1.0,4.0,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1,4.0,1.0,2.0,9.0,6.0,1.0,3,2004.0,0,3.0,691.0,4.0,4.0,2.0,113.0,32.0,0.0,0.0,0.0,0.0,0.0,9,2006,8.0,4.0,309000.0
20.0,3.0,78.0,10859.0,1.0,3,3.0,0.0,0,0.0,5,2.0,2.0,0.0,2,5.0,5.0,1994.0,1995,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,2.0,2.0,3.0,3.0,5,0.0,5.0,0.0,1097.0,1097.0,1.0,0,1.0,4.0,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1,3.0,1.0,3.0,6.0,6.0,0.0,1,1995.0,2,2.0,672.0,4.0,4.0,2.0,392.0,64.0,0.0,0.0,0.0,0.0,0.0,6,2009,8.0,4.0,145000.0
20.0,3.0,74.0,8532.0,1.0,3,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,5.0,6.0,1954.0,1990,1.0,1.0,13.0,14.0,1,163.5,3.0,4.0,1.0,3.0,3.0,3.0,4,1213.0,5.0,0.0,84.0,1297.0,1.0,2,1.0,4.0,1297.0,0.0,0.0,1297.0,0.0,0.0,1.0,0,3.0,1.0,3.0,5.0,6.0,1.0,1,1954.0,0,2.0,498.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2009,8.0,4.0,153000.0
20.0,3.0,68.0,7922.0,1.0,3,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,5.0,7.0,1953.0,2007,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,2,731.0,5.0,0.0,326.0,1057.0,1.0,4,1.0,4.0,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0,3.0,1.0,2.0,5.0,6.0,0.0,5,1953.0,2,1.0,246.0,4.0,4.0,2.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1,2010,8.0,4.0,109000.0
90.0,3.0,65.0,6040.0,1.0,3,3.0,0.0,4,0.0,7,2.0,2.0,0.0,2,4.0,5.0,1955.0,1955,1.0,1.0,8.0,10.0,2,0.0,3.0,4.0,2.0,3.0,3.0,3.0,5,0.0,5.0,0.0,0.0,793.0,1.0,4,1.0,4.0,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0,2.0,1.0,1.0,6.0,6.0,0.0,1,1978.1134057971014,2,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2008,8.0,4.0,82000.0
20.0,3.0,84.0,8658.0,1.0,3,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,6.0,5.0,1965.0,1965,1.0,1.0,13.0,14.0,1,101.0,3.0,4.0,1.0,3.0,3.0,3.0,4,643.0,5.0,0.0,445.0,1088.0,1.0,0,1.0,4.0,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0,3.0,1.0,3.0,6.0,6.0,1.0,1,1965.0,1,2.0,440.0,4.0,4.0,2.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,12,2006,8.0,4.0,160000.0
20.0,3.0,78.0,16905.0,1.0,3,3.0,0.0,4,0.0,23,2.0,2.0,0.0,2,5.0,6.0,1959.0,1959,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,1.0,3.0,3.0,1.0,1,967.0,5.0,0.0,383.0,1350.0,1.0,2,1.0,4.0,1328.0,0.0,0.0,1328.0,0.0,0.0,1.0,1,2.0,1.0,3.0,5.0,6.0,2.0,1,1959.0,1,1.0,308.0,4.0,4.0,2.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,7,2007,8.0,4.0,170000.0
85.0,3.0,69.30579531442663,9180.0,1.0,0,3.0,0.0,1,0.0,20,2.0,2.0,0.0,6,5.0,7.0,1983.0,1983,1.0,1.0,6.0,6.0,2,0.0,3.0,4.0,1.0,2.0,3.0,2.0,0,747.0,5.0,0.0,0.0,840.0,1.0,2,1.0,4.0,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0,2.0,1.0,2.0,5.0,6.0,0.0,1,1983.0,1,2.0,504.0,4.0,4.0,2.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2007,8.0,4.0,144000.0
20.0,3.0,69.30579531442663,9200.0,1.0,0,3.0,0.0,1,0.0,5,2.0,2.0,0.0,2,5.0,6.0,1975.0,1980,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,1.0,2.0,3.0,2.0,3,280.0,5.0,0.0,167.0,938.0,1.0,4,1.0,4.0,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0,3.0,1.0,3.0,5.0,6.0,0.0,5,1977.0,2,1.0,308.0,4.0,4.0,2.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2008,8.0,4.0,130250.0
20.0,3.0,70.0,7945.0,1.0,3,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,5.0,6.0,1959.0,1959,1.0,1.0,3.0,14.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,0,179.0,5.0,0.0,465.0,1150.0,1.0,0,1.0,4.0,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0,3.0,1.0,3.0,6.0,6.0,0.0,1,1959.0,1,1.0,300.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2006,8.0,4.0,141000.0
